UUID        = fd9a3a45-96e6-41a9-b8de-f65a3629399f
     20272196     ECG1   3676 
     20272197     ECG1   3676 
     20272198     ECG1   3676 
     20272199     ECG1   3676 
     20272200     ECG1   3676 
     20272201     ECG1   3676 
     20272202     ECG1   3676 
     20272203     ECG1   3676 
     20272204     ECG1   3676 
     20272205     ECG1   3676 
     20272206     ECG1   3676 
     20272207     ECG1   3676 
     20272208     ECG1   3676 
     20272209     ECG1   3676 
     20272210     ECG1   3676 
     20272211     ECG1   3676 
     20272212     ECG1   3676 
     20272213     ECG1   3676 
     20272214     ECG1   3676 
     20272215     ECG1   3676 
     20272216     ECG1   3676 
     20272217     ECG1   3676 
     20272218     ECG1   3676 
     20272219     ECG1   3676 
     20272220     ECG1   3676 
     20272221     ECG1   3676 
     20272222     ECG1   3676 
     20272223     ECG1   3676 
     20272224     ECG1   3676 
     20272225     ECG1   3676 
     20272226     ECG1   3676 
     20272227     ECG1   3676 
     20272228     ECG1   3676 
     20272229     ECG1   3676 
     20272230     ECG1   3676 
     20272231     ECG1   3676 
     20272232     ECG1   3676 
     20272233     ECG1   3676 
     20272194     ECG2   3973 
     20272195     ECG2   3973 
     20272196     ECG2   3973 
     20272197     ECG2   3973 
     20272198     ECG2   3973 
     20272199     ECG2   3973 
     20272200     ECG2   3973 
     20272201     ECG2   3973 
     20272202     ECG2   3973 
     20272203     ECG2   3973 
     20272204     ECG2   3973 
     20272205     ECG2   3973 
     20272206     ECG2   3973 
     20272207     ECG2   3973 
     20272208     ECG2   3973 
     20272209     ECG2   3973 
     20272210     ECG2   3973 
     20272211     ECG2   3973 
     20272212     ECG2   3973 
     20272213     ECG2   3973 
     20272214     ECG2   3973 
     20272215     ECG2   3973 
     20272216     ECG2   3973 
     20272217     ECG2   3973 
     20272218     ECG2   3973 
     20272219     ECG2   3973 
     20272220     ECG2   3973 
     20272221     ECG2   3973 
     20272222     ECG2   3973 
     20272223     ECG2   3973 
     20272224     ECG2   3973 
     20272225     ECG2   3973 
     20272226     ECG2   3973 
     20272227     ECG2   3973 
     20272228     ECG2   3973 
     20272229     ECG2   3973 
     20272230     ECG2   3973 
     20272231     ECG2   3973 
     20272232     ECG2   3973 
     20272233     ECG2   3973 
     20272194     ECG3   1361 
     20272195     ECG3   1361 
     20272196     ECG3   1361 
     20272197     ECG3   1361 
     20272198     ECG3   1361 
     20272199     ECG3   1361 
     20272200     ECG3   1361 
     20272201     ECG3   1361 
     20272202     ECG3   1361 
     20272203     ECG3   1361 
     20272204     ECG3   1361 
     20272205     ECG3   1361 
     20272206     ECG3   1361 
     20272207     ECG3   1361 
     20272208     ECG3   1361 
     20272209     ECG3   1361 
     20272210     ECG3   1361 
     20272211     ECG3   1361 
     20272212     ECG3   1361 
     20272213     ECG3   1361 
     20272214     ECG3   1361 
     20272215     ECG3   1361 
     20272216     ECG3   1361 
     20272217     ECG3   1361 
     20272218     ECG3   1361 
     20272219     ECG3   1361 
     20272220     ECG3   1361 
     20272221     ECG3   1361 
     20272222     ECG3   1361 
     20272223     ECG3   1361 
     20272224     ECG3   1361 
     20272225     ECG3   1361 
     20272226     ECG3   1361 
     20272227     ECG3   1361 
     20272228     ECG3   1361 
     20272229     ECG3   1361 
     20272230     ECG3   1361 
     20272231     ECG3   1361 
     20272232     ECG3   1361 
     20272233     ECG3   1361 
     20272194     ECG4   2857 
     20272195     ECG4   2857 
     20272196     ECG4   2857 
     20272197     ECG4   2857 
     20272198     ECG4   2857 
     20272199     ECG4   2857 
     20272200     ECG4   2857 
     20272201     ECG4   2857 
     20272202     ECG4   2857 
     20272203     ECG4   2857 
     20272204     ECG4   2857 
     20272205     ECG4   2857 
     20272206     ECG4   2857 
     20272207     ECG4   2857 
     20272208     ECG4   2857 
     20272209     ECG4   2857 
     20272210     ECG4   2857 
     20272211     ECG4   2857 
     20272212     ECG4   2857 
     20272213     ECG4   2857 
     20272214     ECG4   2857 
     20272215     ECG4   2857 
     20272216     ECG4   2857 
     20272217     ECG4   2857 
     20272218     ECG4   2857 
     20272219     ECG4   2857 
     20272220     ECG4   2857 
     20272221     ECG4   2857 
     20272222     ECG4   2857 
     20272223     ECG4   2857 
     20272224     ECG4   2857 
     20272225     ECG4   2857 
     20272226     ECG4   2857 
     20272227     ECG4   2857 
     20272228     ECG4   2857 
     20272229     ECG4   2857 
     20272230     ECG4   2857 
     20272231     ECG4   2857 
     20272232     ECG4   2857 
     20272233     ECG4   2857 
     20272234     ECG1   3676 
     20272235     ECG1   3676 
     20272236     ECG1   3676 
     20272237     ECG1   3676 
     20272238     ECG1   3676 
     20272239     ECG1   3676 
     20272240     ECG1   3676 
     20272241     ECG1   3676 
     20272242     ECG1   3676 
     20272243     ECG1   3676 
     20272244     ECG1   3676 
     20272245     ECG1   3676 
     20272246     ECG1   3676 
     20272247     ECG1   3676 
     20272248     ECG1   3676 
     20272249     ECG1   3676 
     20272250     ECG1   3676 
     20272251     ECG1   3676 
     20272252     ECG1   3676 
     20272253     ECG1   3676 
     20272254     ECG1   3676 
     20272255     ECG1   3676 
     20272256     ECG1   3676 
     20272257     ECG1   3676 
     20272258     ECG1   3676 
     20272259     ECG1   3676 
     20272260     ECG1   3676 
     20272261     ECG1   3676 
     20272262     ECG1   3676 
     20272263     ECG1   3676 
     20272264     ECG1   3676 
     20272265     ECG1   3676 
     20272266     ECG1   3676 
     20272267     ECG1   3676 
     20272268     ECG1   3676 
     20272269     ECG1   3676 
     20272270     ECG1   3676 
     20272271     ECG1   3676 
     20272272     ECG1   3676 
     20272273     ECG1   3676 
     20272234     ECG2   3973 
     20272235     ECG2   3973 
     20272236     ECG2   3973 
     20272237     ECG2   3973 
     20272238     ECG2   3973 
     20272239     ECG2   3973 
     20272240     ECG2   3973 
     20272241     ECG2   3973 
     20272242     ECG2   3973 
     20272243     ECG2   3973 
     20272244     ECG2   3973 
     20272245     ECG2   3973 
     20272246     ECG2   3973 
     20272247     ECG2   3973 
     20272248     ECG2   3973 
     20272249     ECG2   3973 
     20272250     ECG2   3973 
     20272251     ECG2   3973 
     20272252     ECG2   3973 
     20272253     ECG2   3973 
     20272254     ECG2   3973 
     20272255     ECG2   3973 
     20272256     ECG2   3973 
     20272257     ECG2   3973 
     20272258     ECG2   3973 
     20272259     ECG2   3973 
     20272260     ECG2   3973 
     20272261     ECG2   3973 
     20272262     ECG2   3973 
     20272263     ECG2   3973 
     20272264     ECG2   3973 
     20272265     ECG2   3973 
     20272266     ECG2   3973 
     20272267     ECG2   3973 
     20272268     ECG2   3973 
     20272269     ECG2   3973 
     20272270     ECG2   3973 
     20272271     ECG2   3973 
     20272272     ECG2   3973 
     20272273     ECG2   3973 
     20272234     ECG3   1361 
     20272235     ECG3   1361 
     20272236     ECG3   1361 
     20272237     ECG3   1361 
     20272238     ECG3   1361 
     20272239     ECG3   1361 
     20272240     ECG3   1361 
     20272241     ECG3   1361 
     20272242     ECG3   1361 
     20272243     ECG3   1361 
     20272244     ECG3   1361 
     20272245     ECG3   1361 
     20272246     ECG3   1361 
     20272247     ECG3   1361 
     20272248     ECG3   1361 
     20272249     ECG3   1361 
     20272250     ECG3   1361 
     20272251     ECG3   1361 
     20272252     ECG3   1361 
     20272253     ECG3   1361 
     20272254     ECG3   1361 
     20272255     ECG3   1361 
     20272256     ECG3   1361 
     20272257     ECG3   1361 
     20272258     ECG3   1361 
     20272259     ECG3   1361 
     20272260     ECG3   1361 
     20272261     ECG3   1361 
     20272262     ECG3   1361 
     20272263     ECG3   1361 
     20272264     ECG3   1361 
     20272265     ECG3   1361 
     20272266     ECG3   1361 
     20272267     ECG3   1361 
     20272268     ECG3   1361 
     20272269     ECG3   1361 
     20272270     ECG3   1361 
     20272271     ECG3   1361 
     20272272     ECG3   1361 
     20272273     ECG3   1361 
     20272234     ECG4   2857 
     20272235     ECG4   2857 
     20272236     ECG4   2857 
     20272237     ECG4   2857 
     20272238     ECG4   2857 
     20272239     ECG4   2857 
     20272240     ECG4   2857 
     20272241     ECG4   2857 
     20272242     ECG4   2857 
     20272243     ECG4   2857 
     20272244     ECG4   2857 
     20272245     ECG4   2857 
     20272246     ECG4   2857 
     20272247     ECG4   2857 
     20272248     ECG4   2857 
     20272249     ECG4   2857 
     20272250     ECG4   2857 
     20272251     ECG4   2857 
     20272252     ECG4   2857 
     20272253     ECG4   2857 
     20272254     ECG4   2857 
     20272255     ECG4   2857 
     20272256     ECG4   2857 
     20272257     ECG4   2857 
     20272258     ECG4   2857 
     20272259     ECG4   2857 
     20272260     ECG4   2857 
     20272261     ECG4   2857 
     20272262     ECG4   2857 
     20272263     ECG4   2857 
     20272264     ECG4   2857 
     20272265     ECG4   2857 
     20272266     ECG4   2857 
     20272267     ECG4   2857 
     20272268     ECG4   2857 
     20272269     ECG4   2857 
     20272270     ECG4   2857 
     20272271     ECG4   2857 
     20272272     ECG4   2857 
     20272273     ECG4   2857 
     20272274     ECG1   3676 
     20272275     ECG1   3676 
     20272276     ECG1   3676 
     20272277     ECG1   3676 
     20272278     ECG1   3676 
     20272279     ECG1   3676 
     20272280     ECG1   3676 
     20272281     ECG1   3676 
     20272282     ECG1   3676 
     20272283     ECG1   3676 
     20272284     ECG1   3676 
     20272285     ECG1   3676 
     20272286     ECG1   3676 
     20272287     ECG1   3676 
     20272288     ECG1   3676 
     20272289     ECG1   3676 
     20272290     ECG1   3676 
     20272291     ECG1   3676 
     20272292     ECG1   3676 
     20272293     ECG1   3676 
     20272294     ECG1   3676 
     20272295     ECG1   3676 
     20272296     ECG1   3676 
     20272297     ECG1   3676 
     20272298     ECG1   3676 
     20272299     ECG1   3676 
     20272300     ECG1   3676 
     20272301     ECG1   3676 
     20272302     ECG1   3676 
     20272303     ECG1   3676 
     20272304     ECG1   3676 
     20272305     ECG1   3676 
     20272306     ECG1   3676 
     20272307     ECG1   3676 
     20272308     ECG1   3676 
     20272309     ECG1   3676 
     20272310     ECG1   3676 
     20272311     ECG1   3676 
     20272312     ECG1   3676 
     20272313     ECG1   3676 
     20272274     ECG2   3973 
     20272275     ECG2   3973 
     20272276     ECG2   3973 
     20272277     ECG2   3973 
     20272278     ECG2   3973 
     20272279     ECG2   3973 
     20272280     ECG2   3973 
     20272281     ECG2   3973 
     20272282     ECG2   3973 
     20272283     ECG2   3973 
     20272284     ECG2   3973 
     20272285     ECG2   3973 
     20272286     ECG2   3973 
     20272287     ECG2   3973 
     20272288     ECG2   3973 
     20272289     ECG2   3973 
     20272290     ECG2   3973 
     20272291     ECG2   3973 
     20272292     ECG2   3973 
     20272293     ECG2   3973 
     20272294     ECG2   3973 
     20272295     ECG2   3973 
     20272296     ECG2   3973 
     20272297     ECG2   3973 
     20272298     ECG2   3973 
     20272299     ECG2   3973 
     20272300     ECG2   3973 
     20272301     ECG2   3973 
     20272302     ECG2   3973 
     20272303     ECG2   3973 
     20272304     ECG2   3973 
     20272305     ECG2   3973 
     20272306     ECG2   3973 
     20272307     ECG2   3973 
     20272308     ECG2   3973 
     20272309     ECG2   3973 
     20272310     ECG2   3973 
     20272311     ECG2   3973 
     20272312     ECG2   3973 
     20272313     ECG2   3973 
     20272274     ECG3   1361 
     20272275     ECG3   1361 
     20272276     ECG3   1361 
     20272277     ECG3   1361 
     20272278     ECG3   1361 
     20272279     ECG3   1361 
     20272280     ECG3   1361 
     20272281     ECG3   1361 
     20272282     ECG3   1361 
     20272283     ECG3   1361 
     20272284     ECG3   1361 
     20272285     ECG3   1361 
     20272286     ECG3   1361 
     20272287     ECG3   1361 
     20272288     ECG3   1361 
     20272289     ECG3   1361 
     20272290     ECG3   1361 
     20272291     ECG3   1361 
     20272292     ECG3   1361 
     20272293     ECG3   1361 
     20272294     ECG3   1361 
     20272295     ECG3   1361 
     20272296     ECG3   1361 
     20272297     ECG3   1361 
     20272298     ECG3   1361 
     20272299     ECG3   1361 
     20272300     ECG3   1361 
     20272301     ECG3   1361 
     20272302     ECG3   1361 
     20272303     ECG3   1361 
     20272304     ECG3   1361 
     20272305     ECG3   1361 
     20272306     ECG3   1361 
     20272307     ECG3   1361 
     20272308     ECG3   1361 
     20272309     ECG3   1361 
     20272310     ECG3   1361 
     20272311     ECG3   1361 
     20272312     ECG3   1361 
     20272313     ECG3   1361 
     20272274     ECG4   2857 
     20272275     ECG4   2857 
     20272276     ECG4   2857 
     20272277     ECG4   2857 
     20272278     ECG4   2857 
     20272279     ECG4   2857 
     20272280     ECG4   2857 
     20272281     ECG4   2857 
     20272282     ECG4   2857 
     20272283     ECG4   2857 
     20272284     ECG4   2857 
     20272285     ECG4   2857 
     20272286     ECG4   2857 
     20272287     ECG4   2857 
     20272288     ECG4   2857 
     20272289     ECG4   2857 
     20272290     ECG4   2857 
     20272291     ECG4   2857 
     20272292     ECG4   2857 
     20272293     ECG4   2857 
     20272294     ECG4   2857 
     20272295     ECG4   2857 
     20272296     ECG4   2857 
     20272297     ECG4   2857 
     20272298     ECG4   2857 
     20272299     ECG4   2857 
     20272300     ECG4   2857 
     20272301     ECG4   2857 
     20272302     ECG4   2857 
     20272303     ECG4   2857 
     20272304     ECG4   2857 
     20272305     ECG4   2857 
     20272306     ECG4   2857 
     20272307     ECG4   2857 
     20272308     ECG4   2857 
     20272309     ECG4   2857 
     20272310     ECG4   2857 
     20272311     ECG4   2857 
     20272312     ECG4   2857 
     20272313     ECG4   2857 
     20272314     ECG1   3676 
     20272315     ECG1   3676 
     20272316     ECG1   3676 
     20272317     ECG1   3676 
     20272318     ECG1   3676 
     20272319     ECG1   3676 
     20272320     ECG1   3676 
     20272321     ECG1   3676 
     20272322     ECG1   3676 
     20272323     ECG1   3676 
     20272324     ECG1   3676 
     20272325     ECG1   3676 
     20272326     ECG1   3676 
     20272327     ECG1   3676 
     20272328     ECG1   3676 
     20272329     ECG1   3676 
     20272330     ECG1   3676 
     20272331     ECG1   3676 
     20272332     ECG1   3676 
     20272333     ECG1   3676 
     20272334     ECG1   3676 
     20272335     ECG1   3676 
     20272336     ECG1   3676 
     20272337     ECG1   3676 
     20272338     ECG1   3676 
     20272339     ECG1   3676 
     20272340     ECG1   3676 
     20272341     ECG1   3676 
     20272342     ECG1   3676 
     20272343     ECG1   3676 
     20272344     ECG1   3676 
     20272345     ECG1   3676 
     20272346     ECG1   3676 
     20272347     ECG1   3676 
     20272348     ECG1   3676 
     20272349     ECG1   3676 
     20272350     ECG1   3676 
     20272351     ECG1   3676 
     20272352     ECG1   3676 
     20272353     ECG1   3676 
     20272314     ECG2   3973 
     20272315     ECG2   3973 
     20272316     ECG2   3973 
     20272317     ECG2   3973 
     20272318     ECG2   3973 
     20272319     ECG2   3973 
     20272320     ECG2   3973 
     20272321     ECG2   3973 
     20272322     ECG2   3973 
     20272323     ECG2   3973 
     20272324     ECG2   3973 
     20272325     ECG2   3973 
     20272326     ECG2   3973 
     20272327     ECG2   3973 
     20272328     ECG2   3973 
     20272329     ECG2   3973 
     20272330     ECG2   3973 
     20272331     ECG2   3973 
     20272332     ECG2   3973 
     20272333     ECG2   3973 
     20272334     ECG2   3973 
     20272335     ECG2   3973 
     20272336     ECG2   3973 
     20272337     ECG2   3973 
     20272338     ECG2   3973 
     20272339     ECG2   3973 
     20272340     ECG2   3973 
     20272341     ECG2   3973 
     20272342     ECG2   3973 
     20272343     ECG2   3973 
     20272344     ECG2   3973 
     20272345     ECG2   3973 
     20272346     ECG2   3973 
     20272347     ECG2   3973 
     20272348     ECG2   3973 
     20272349     ECG2   3973 
     20272350     ECG2   3973 
     20272351     ECG2   3973 
     20272352     ECG2   3973 
     20272353     ECG2   3973 
     20272314     ECG3   1361 
     20272315     ECG3   1361 
     20272316     ECG3   1361 
     20272317     ECG3   1361 
     20272318     ECG3   1361 
     20272319     ECG3   1361 
     20272320     ECG3   1361 
     20272321     ECG3   1361 
     20272322     ECG3   1361 
     20272323     ECG3   1361 
     20272324     ECG3   1361 
     20272325     ECG3   1361 
     20272326     ECG3   1361 
     20272327     ECG3   1361 
     20272328     ECG3   1361 
     20272329     ECG3   1361 
     20272330     ECG3   1361 
     20272331     ECG3   1361 
     20272332     ECG3   1361 
     20272333     ECG3   1361 
     20272334     ECG3   1361 
     20272335     ECG3   1361 
     20272336     ECG3   1361 
     20272337     ECG3   1361 
     20272338     ECG3   1361 
     20272339     ECG3   1361 
     20272340     ECG3   1361 
     20272341     ECG3   1361 
     20272342     ECG3   1361 
     20272343     ECG3   1361 
     20272344     ECG3   1361 
     20272345     ECG3   1361 
     20272346     ECG3   1361 
     20272347     ECG3   1361 
     20272348     ECG3   1361 
     20272349     ECG3   1361 
     20272350     ECG3   1361 
     20272351     ECG3   1361 
     20272352     ECG3   1361 
     20272353     ECG3   1361 
     20272314     ECG4   2857 
     20272315     ECG4   2857 
     20272316     ECG4   2857 
     20272317     ECG4   2857 
     20272318     ECG4   2857 
     20272319     ECG4   2857 
     20272320     ECG4   2857 
     20272321     ECG4   2857 
     20272322     ECG4   2857 
     20272323     ECG4   2857 
     20272324     ECG4   2857 
     20272325     ECG4   2857 
     20272326     ECG4   2857 
     20272327     ECG4   2857 
     20272328     ECG4   2857 
     20272329     ECG4   2857 
     20272330     ECG4   2857 
     20272331     ECG4   2857 
     20272332     ECG4   2857 
     20272333     ECG4   2857 
     20272334     ECG4   2857 
     20272335     ECG4   2857 
     20272336     ECG4   2857 
     20272337     ECG4   2857 
     20272338     ECG4   2857 
     20272339     ECG4   2857 
     20272340     ECG4   2857 
     20272341     ECG4   2857 
     20272342     ECG4   2857 
     20272343     ECG4   2857 
     20272344     ECG4   2857 
     20272345     ECG4   2857 
     20272346     ECG4   2857 
     20272347     ECG4   2857 
     20272348     ECG4   2857 
     20272349     ECG4   2857 
     20272350     ECG4   2857 
     20272351     ECG4   2857 
     20272352     ECG4   2857 
     20272353     ECG4   2857 
     20272354     ECG1   3676 
     20272355     ECG1   3676 
     20272356     ECG1   3676 
     20272357     ECG1   3676 
     20272358     ECG1   3676 
     20272359     ECG1   3676 
     20272360     ECG1   3676 
     20272361     ECG1   3676 
     20272362     ECG1   3676 
     20272363     ECG1   3676 
     20272364     ECG1   3676 
     20272365     ECG1   3676 
     20272366     ECG1   3676 
     20272367     ECG1   3676 
     20272368     ECG1   3676 
     20272369     ECG1   3676 
     20272370     ECG1   3676 
     20272371     ECG1   3676 
     20272372     ECG1   3676 
     20272373     ECG1   3676 
     20272374     ECG1   3676 
     20272375     ECG1   3676 
     20272376     ECG1   3676 
     20272377     ECG1   3676 
     20272378     ECG1   3676 
     20272379     ECG1   3676 
     20272380     ECG1   3676 
     20272381     ECG1   3676 
     20272382     ECG1   3676 
     20272383     ECG1   3676 
     20272384     ECG1   3676 
     20272385     ECG1   3676 
     20272386     ECG1   3676 
     20272387     ECG1   3676 
     20272388     ECG1   3676 
     20272389     ECG1   3676 
     20272390     ECG1   3676 
     20272391     ECG1   3676 
     20272392     ECG1   3676 
     20272393     ECG1   3676 
     20272354     ECG2   3973 
     20272355     ECG2   3973 
     20272356     ECG2   3973 
     20272357     ECG2   3973 
     20272358     ECG2   3973 
     20272359     ECG2   3973 
     20272360     ECG2   3973 
     20272361     ECG2   3973 
     20272362     ECG2   3973 
     20272363     ECG2   3973 
     20272364     ECG2   3973 
     20272365     ECG2   3973 
     20272366     ECG2   3973 
     20272367     ECG2   3973 
     20272368     ECG2   3973 
     20272369     ECG2   3973 
     20272370     ECG2   3973 
     20272371     ECG2   3973 
     20272372     ECG2   3973 
     20272373     ECG2   3973 
     20272374     ECG2   3973 
     20272375     ECG2   3973 
     20272376     ECG2   3973 
     20272377     ECG2   3973 
     20272378     ECG2   3973 
     20272379     ECG2   3973 
     20272380     ECG2   3973 
     20272381     ECG2   3973 
     20272382     ECG2   3973 
     20272383     ECG2   3973 
     20272384     ECG2   3973 
     20272385     ECG2   3973 
     20272386     ECG2   3973 
     20272387     ECG2   3973 
     20272388     ECG2   3973 
     20272389     ECG2   3973 
     20272390     ECG2   3973 
     20272391     ECG2   3973 
     20272392     ECG2   3973 
     20272393     ECG2   3973 
     20272354     ECG3   1361 
     20272355     ECG3   1361 
     20272356     ECG3   1361 
     20272357     ECG3   1361 
     20272358     ECG3   1361 
     20272359     ECG3   1361 
     20272360     ECG3   1361 
     20272361     ECG3   1361 
     20272362     ECG3   1361 
     20272363     ECG3   1361 
     20272364     ECG3   1361 
     20272365     ECG3   1361 
     20272366     ECG3   1361 
     20272367     ECG3   1361 
     20272368     ECG3   1361 
     20272369     ECG3   1361 
     20272370     ECG3   1361 
     20272371     ECG3   1361 
     20272372     ECG3   1361 
     20272373     ECG3   1361 
     20272374     ECG3   1361 
     20272375     ECG3   1361 
     20272376     ECG3   1361 
     20272377     ECG3   1361 
     20272378     ECG3   1361 
     20272379     ECG3   1361 
     20272380     ECG3   1361 
     20272381     ECG3   1361 
     20272382     ECG3   1361 
     20272383     ECG3   1361 
     20272384     ECG3   1361 
     20272385     ECG3   1361 
     20272386     ECG3   1361 
