UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
     20743942     ECG1   3584 
     20743943     ECG1   3584 
     20743904     ECG2    605 
     20743905     ECG2    605 
     20743906     ECG2    605 
     20743907     ECG2    605 
     20743908     ECG2    605 
     20743909     ECG2    605 
     20743910     ECG2    605 
     20743911     ECG2    605 
     20743912     ECG2    605 
     20743913     ECG2    605 
     20743914     ECG2    605 
     20743915     ECG2    605 
     20743916     ECG2    605 
     20743917     ECG2    605 
     20743918     ECG2    605 
     20743919     ECG2    605 
     20743920     ECG2    605 
     20743921     ECG2    605 
     20743922     ECG2    605 
     20743923     ECG2    605 
     20743924     ECG2    605 
     20743925     ECG2    605 
     20743926     ECG2    605 
     20743927     ECG2    605 
     20743928     ECG2    605 
     20743929     ECG2    605 
     20743930     ECG2    605 
     20743931     ECG2    605 
     20743932     ECG2    605 
     20743933     ECG2    605 
     20743934     ECG2    605 
     20743935     ECG2    605 
     20743936     ECG2    605 
     20743937     ECG2    605 
     20743938     ECG2    605 
     20743939     ECG2    605 
     20743940     ECG2    605 
     20743941     ECG2    605 
     20743942     ECG2    605 
     20743943     ECG2    605 
     20743904     ECG3   2932 
     20743905     ECG3   2932 
     20743906     ECG3   2932 
     20743907     ECG3   2932 
     20743908     ECG3   2932 
     20743909     ECG3   2932 
     20743910     ECG3   2932 
     20743911     ECG3   2932 
     20743912     ECG3   2932 
     20743913     ECG3   2932 
     20743914     ECG3   2932 
     20743915     ECG3   2932 
     20743916     ECG3   2932 
     20743917     ECG3   2932 
     20743918     ECG3   2932 
     20743919     ECG3   2932 
     20743920     ECG3   2932 
     20743921     ECG3   2932 
     20743922     ECG3   2932 
     20743923     ECG3   2932 
     20743924     ECG3   2932 
     20743925     ECG3   2932 
     20743926     ECG3   2932 
     20743927     ECG3   2932 
     20743928     ECG3   2932 
     20743929     ECG3   2932 
     20743930     ECG3   2932 
     20743931     ECG3   2932 
     20743932     ECG3   2932 
     20743933     ECG3   2932 
     20743934     ECG3   2932 
     20743935     ECG3   2932 
     20743936     ECG3   2932 
     20743937     ECG3   2932 
     20743938     ECG3   2932 
     20743939     ECG3   2932 
     20743940     ECG3   2932 
     20743941     ECG3   2932 
     20743942     ECG3   2932 
     20743943     ECG3   2932 
     20743904     ECG4   2831 
     20743905     ECG4   2831 
     20743906     ECG4   2831 
     20743907     ECG4   2831 
     20743908     ECG4   2831 
     20743909     ECG4   2831 
     20743910     ECG4   2831 
     20743911     ECG4   2831 
     20743912     ECG4   2831 
     20743913     ECG4   2831 
     20743914     ECG4   2831 
     20743915     ECG4   2831 
     20743916     ECG4   2831 
     20743917     ECG4   2831 
     20743918     ECG4   2831 
     20743919     ECG4   2831 
     20743920     ECG4   2831 
     20743921     ECG4   2831 
     20743922     ECG4   2831 
     20743923     ECG4   2831 
     20743924     ECG4   2831 
     20743925     ECG4   2831 
     20743926     ECG4   2831 
     20743927     ECG4   2831 
     20743928     ECG4   2831 
     20743929     ECG4   2831 
     20743930     ECG4   2831 
     20743931     ECG4   2831 
     20743932     ECG4   2831 
     20743933     ECG4   2831 
     20743934     ECG4   2831 
     20743935     ECG4   2831 
     20743936     ECG4   2831 
     20743937     ECG4   2831 
     20743938     ECG4   2831 
     20743939     ECG4   2831 
     20743940     ECG4   2831 
     20743941     ECG4   2831 
     20743942     ECG4   2831 
     20743943     ECG4   2831 
     20743944     ECG1   3584 
     20743945     ECG1   3584 
     20743946     ECG1   3584 
     20743947     ECG1   3584 
     20743948     ECG1   3584 
     20743949     ECG1   3584 
     20743950     ECG1   3584 
     20743951     ECG1   3584 
     20743952     ECG1   3584 
     20743953     ECG1   3584 
     20743954     ECG1   3584 
     20743955     ECG1   3584 
     20743956     ECG1   3584 
     20743957     ECG1   3584 
     20743958     ECG1   3584 
     20743959     ECG1   3584 
     20743960     ECG1   3584 
     20743961     ECG1   3584 
     20743962     ECG1   3584 
     20743963     ECG1   3584 
     20743964     ECG1   3584 
     20743965     ECG1   3584 
     20743966     ECG1   3584 
     20743967     ECG1   3584 
     20743968     ECG1   3584 
     20743969     ECG1   3584 
     20743970     ECG1   3584 
     20743971     ECG1   3584 
     20743972     ECG1   3584 
     20743973     ECG1   3584 
     20743974     ECG1   3584 
     20743975     ECG1   3584 
     20743976     ECG1   3584 
     20743977     ECG1   3584 
     20743978     ECG1   3584 
     20743979     ECG1   3584 
     20743980     ECG1   3584 
     20743981     ECG1   3584 
     20743982     ECG1   3584 
     20743983     ECG1   3584 
     20743944     ECG2    605 
     20743945     ECG2    605 
     20743946     ECG2    605 
     20743947     ECG2    605 
     20743948     ECG2    605 
     20743949     ECG2    605 
     20743950     ECG2    605 
     20743951     ECG2    605 
     20743952     ECG2    605 
     20743953     ECG2    605 
     20743954     ECG2    605 
     20743955     ECG2    605 
     20743956     ECG2    605 
     20743957     ECG2    605 
     20743958     ECG2    605 
     20743959     ECG2    605 
     20743960     ECG2    605 
     20743961     ECG2    605 
     20743962     ECG2    605 
     20743963     ECG2    605 
     20743964     ECG2    605 
     20743965     ECG2    605 
     20743966     ECG2    605 
     20743967     ECG2    605 
     20743968     ECG2    605 
     20743969     ECG2    605 
     20743970     ECG2    605 
     20743971     ECG2    605 
     20743972     ECG2    605 
     20743973     ECG2    605 
     20743974     ECG2    605 
     20743975     ECG2    605 
     20743976     ECG2    605 
     20743977     ECG2    605 
     20743978     ECG2    605 
     20743979     ECG2    605 
     20743980     ECG2    605 
     20743981     ECG2    605 
     20743982     ECG2    605 
     20743983     ECG2    605 
     20743944     ECG3   2932 
     20743945     ECG3   2932 
     20743946     ECG3   2932 
     20743947     ECG3   2932 
     20743948     ECG3   2932 
     20743949     ECG3   2932 
     20743950     ECG3   2932 
     20743951     ECG3   2932 
     20743952     ECG3   2932 
     20743953     ECG3   2932 
     20743954     ECG3   2932 
     20743955     ECG3   2932 
     20743956     ECG3   2932 
     20743957     ECG3   2932 
     20743958     ECG3   2932 
     20743959     ECG3   2932 
     20743960     ECG3   2932 
     20743961     ECG3   2932 
     20743962     ECG3   2932 
     20743963     ECG3   2932 
     20743964     ECG3   2932 
     20743965     ECG3   2932 
     20743966     ECG3   2932 
     20743967     ECG3   2932 
     20743968     ECG3   2932 
     20743969     ECG3   2932 
     20743970     ECG3   2932 
     20743971     ECG3   2932 
     20743972     ECG3   2932 
     20743973     ECG3   2932 
     20743974     ECG3   2932 
     20743975     ECG3   2932 
     20743976     ECG3   2932 
     20743977     ECG3   2932 
     20743978     ECG3   2932 
     20743979     ECG3   2932 
     20743980     ECG3   2932 
     20743981     ECG3   2932 
     20743982     ECG3   2932 
     20743983     ECG3   2932 
     20743944     ECG4   2831 
     20743945     ECG4   2831 
     20743946     ECG4   2831 
     20743947     ECG4   2831 
     20743948     ECG4   2831 
     20743949     ECG4   2831 
     20743950     ECG4   2831 
     20743951     ECG4   2831 
     20743952     ECG4   2831 
     20743953     ECG4   2831 
     20743954     ECG4   2831 
     20743955     ECG4   2831 
     20743956     ECG4   2831 
     20743957     ECG4   2831 
     20743958     ECG4   2831 
     20743959     ECG4   2831 
     20743960     ECG4   2831 
     20743961     ECG4   2831 
     20743962     ECG4   2831 
     20743963     ECG4   2831 
     20743964     ECG4   2831 
     20743965     ECG4   2831 
     20743966     ECG4   2831 
     20743967     ECG4   2831 
     20743968     ECG4   2831 
     20743969     ECG4   2831 
     20743970     ECG4   2831 
     20743971     ECG4   2831 
     20743972     ECG4   2831 
     20743973     ECG4   2831 
     20743974     ECG4   2831 
     20743975     ECG4   2831 
     20743976     ECG4   2831 
     20743977     ECG4   2831 
     20743978     ECG4   2831 
     20743979     ECG4   2831 
     20743980     ECG4   2831 
     20743981     ECG4   2831 
     20743982     ECG4   2831 
     20743983     ECG4   2831 
     20743984     ECG1   3584 
     20743985     ECG1   3584 
     20743986     ECG1   3584 
     20743987     ECG1   3584 
     20743988     ECG1   3584 
     20743989     ECG1   3584 
     20743990     ECG1   3584 
     20743991     ECG1   3584 
     20743992     ECG1   3584 
     20743993     ECG1   3584 
     20743994     ECG1   3584 
     20743995     ECG1   3584 
     20743996     ECG1   3584 
     20743997     ECG1   3584 
     20743998     ECG1   3584 
     20743999     ECG1   3584 
     20744000     ECG1   3584 
     20744001     ECG1   3584 
     20744002     ECG1   3584 
     20744003     ECG1   3584 
     20744004     ECG1   3584 
     20744005     ECG1   3584 
     20744006     ECG1   3584 
     20744007     ECG1   3584 
     20744008     ECG1   3584 
     20744009     ECG1   3584 
     20744010     ECG1   3584 
     20744011     ECG1   3584 
     20744012     ECG1   3584 
     20744013     ECG1   3584 
     20744014     ECG1   3584 
     20744015     ECG1   3584 
     20744016     ECG1   3584 
     20744017     ECG1   3584 
     20744018     ECG1   3584 
     20744019     ECG1   3584 
     20744020     ECG1   3584 
     20744021     ECG1   3584 
     20743984     ECG2    605 
     20743985     ECG2    605 
     20743986     ECG2    605 
     20743987     ECG2    605 
     20743988     ECG2    605 
     20743989     ECG2    605 
     20743990     ECG2    605 
     20743991     ECG2    605 
     20743992     ECG2    605 
     20743993     ECG2    605 
     20743994     ECG2    605 
     20743995     ECG2    605 
     20743996     ECG2    605 
     20743997     ECG2    605 
     20743998     ECG2    605 
     20743999     ECG2    605 
     20744000     ECG2    605 
     20744001     ECG2    605 
     20744002     ECG2    605 
     20744003     ECG2    605 
     20744004     ECG2    605 
     20744005     ECG2    605 
     20744006     ECG2    605 
     20744007     ECG2    605 
     20744008     ECG2    605 
     20744009     ECG2    605 
     20744010     ECG2    605 
     20744011     ECG2    605 
     20744012     ECG2    605 
     20744013     ECG2    605 
     20744014     ECG2    605 
     20744015     ECG2    605 
     20744016     ECG2    605 
     20744017     ECG2    605 
     20744018     ECG2    605 
     20744019     ECG2    605 
     20744020     ECG2    605 
     20744021     ECG2    605 
     20743984     ECG3   2932 
     20743985     ECG3   2932 
     20743986     ECG3   2932 
     20743987     ECG3   2932 
     20743988     ECG3   2932 
     20743989     ECG3   2932 
     20743990     ECG3   2932 
     20743991     ECG3   2932 
     20743992     ECG3   2932 
     20743993     ECG3   2932 
     20743994     ECG3   2932 
     20743995     ECG3   2932 
     20743996     ECG3   2932 
     20743997     ECG3   2932 
     20743998     ECG3   2932 
     20743999     ECG3   2932 
     20744000     ECG3   2932 
     20744001     ECG3   2932 
     20744002     ECG3   2932 
     20744003     ECG3   2932 
     20744004     ECG3   2932 
     20744005     ECG3   2932 
     20744006     ECG3   2932 
     20744007     ECG3   2932 
     20744008     ECG3   2932 
     20744009     ECG3   2932 
     20744010     ECG3   2932 
     20744011     ECG3   2932 
     20744012     ECG3   2932 
     20744013     ECG3   2932 
     20744014     ECG3   2932 
     20744015     ECG3   2932 
     20744016     ECG3   2932 
     20744017     ECG3   2932 
     20744018     ECG3   2932 
     20744019     ECG3   2932 
     20744020     ECG3   2932 
     20744021     ECG3   2932 
     20743984     ECG4   2831 
     20743985     ECG4   2831 
     20743986     ECG4   2831 
     20743987     ECG4   2831 
     20743988     ECG4   2831 
     20743989     ECG4   2831 
     20743990     ECG4   2831 
     20743991     ECG4   2831 
     20743992     ECG4   2831 
     20743993     ECG4   2831 
     20743994     ECG4   2831 
     20743995     ECG4   2831 
     20743996     ECG4   2831 
     20743997     ECG4   2831 
     20743998     ECG4   2831 
     20743999     ECG4   2831 
     20744000     ECG4   2831 
     20744001     ECG4   2831 
     20744002     ECG4   2831 
     20744003     ECG4   2831 
     20744004     ECG4   2831 
     20744005     ECG4   2831 
     20744006     ECG4   2831 
     20744007     ECG4   2831 
     20744008     ECG4   2831 
     20744009     ECG4   2831 
     20744010     ECG4   2831 
     20744011     ECG4   2831 
     20744012     ECG4   2831 
     20744013     ECG4   2831 
     20744014     ECG4   2831 
     20744015     ECG4   2831 
     20744016     ECG4   2831 
     20744017     ECG4   2831 
     20744018     ECG4   2831 
     20744019     ECG4   2831 
     20744020     ECG4   2831 
     20744021     ECG4   2831 
     20780514     ECG1   3575 
     20780515     ECG1   3575 
     20780516     ECG1   3575 
     20780517     ECG1   3575 
     20780518     ECG1   3575 
     20780519     ECG1   3575 
     20780520     ECG1   3575 
     20780521     ECG1   3575 
     20780522     ECG1   3575 
     20780523     ECG1   3575 
     20780524     ECG1   3575 
     20780525     ECG1   3575 
     20780526     ECG1   3575 
     20780527     ECG1   3575 
     20780528     ECG1   3575 
     20780529     ECG1   3575 
     20780530     ECG1   3575 
     20780531     ECG1   3575 
     20780532     ECG1   3575 
     20780533     ECG1   3575 
     20780534     ECG1   3575 
     20780535     ECG1   3575 
     20780536     ECG1   3575 
     20780537     ECG1   3575 
     20780538     ECG1   3575 
     20780539     ECG1   3575 
     20780540     ECG1   3575 
     20780541     ECG1   3575 
     20780542     ECG1   3575 
     20780543     ECG1   3575 
     20780514     ECG2   3057 
     20780515     ECG2   3057 
     20780516     ECG2   3057 
     20780517     ECG2   3057 
     20780518     ECG2   3057 
     20780519     ECG2   3057 
     20780520     ECG2   3057 
     20780521     ECG2   3057 
     20780522     ECG2   3057 
     20780523     ECG2   3057 
     20780524     ECG2   3057 
     20780525     ECG2   3057 
     20780526     ECG2   3057 
     20780527     ECG2   3057 
     20780528     ECG2   3057 
     20780529     ECG2   3057 
     20780530     ECG2   3057 
     20780531     ECG2   3057 
     20780532     ECG2   3057 
     20780533     ECG2   3057 
     20780534     ECG2   3057 
     20780535     ECG2   3057 
     20780536     ECG2   3057 
     20780537     ECG2   3057 
     20780538     ECG2   3057 
     20780539     ECG2   3057 
     20780540     ECG2   3057 
     20780541     ECG2   3057 
     20780542     ECG2   3057 
     20780543     ECG2   3057 
     20780514     ECG3   3425 
     20780515     ECG3   3425 
     20780516     ECG3   3425 
     20780517     ECG3   3425 
     20780518     ECG3   3425 
     20780519     ECG3   3425 
     20780520     ECG3   3425 
     20780521     ECG3   3425 
     20780522     ECG3   3425 
     20780523     ECG3   3425 
     20780524     ECG3   3425 
     20780525     ECG3   3425 
     20780526     ECG3   3425 
     20780527     ECG3   3425 
     20780528     ECG3   3425 
     20780529     ECG3   3425 
     20780530     ECG3   3425 
     20780531     ECG3   3425 
     20780532     ECG3   3425 
     20780533     ECG3   3425 
     20780534     ECG3   3425 
     20780535     ECG3   3425 
     20780536     ECG3   3425 
     20780537     ECG3   3425 
     20780538     ECG3   3425 
     20780539     ECG3   3425 
     20780540     ECG3   3425 
     20780541     ECG3   3425 
     20780542     ECG3   3425 
     20780543     ECG3   3425 
     20780514     ECG4    166 
     20780515     ECG4    166 
     20780516     ECG4    166 
     20780517     ECG4    166 
     20780518     ECG4    166 
     20780519     ECG4    166 
     20780520     ECG4    166 
     20780521     ECG4    166 
     20780522     ECG4    166 
     20780523     ECG4    166 
     20780524     ECG4    166 
     20780525     ECG4    166 
     20780526     ECG4    166 
     20780527     ECG4    166 
     20780528     ECG4    166 
     20780529     ECG4    166 
     20780530     ECG4    166 
     20780531     ECG4    166 
     20780532     ECG4    166 
     20780533     ECG4    166 
     20780534     ECG4    166 
     20780535     ECG4    166 
     20780536     ECG4    166 
     20780537     ECG4    166 
     20780538     ECG4    166 
     20780539     ECG4    166 
     20780540     ECG4    166 
     20780541     ECG4    166 
     20780542     ECG4    166 
     20780543     ECG4    166 
     20780544     ECG1   3575 
     20780545     ECG1   3575 
     20780546     ECG1   3575 
     20780547     ECG1   3575 
     20780548     ECG1   3575 
     20780549     ECG1   3575 
     20780550     ECG1   3575 
     20780551     ECG1   3575 
     20780552     ECG1   3575 
     20780553     ECG1   3575 
     20780554     ECG1   3575 
     20780555     ECG1   3575 
     20780556     ECG1   3575 
     20780557     ECG1   3575 
     20780558     ECG1   3575 
     20780559     ECG1   3575 
     20780560     ECG1   3575 
     20780561     ECG1   3575 
     20780562     ECG1   3575 
     20780563     ECG1   3575 
     20780564     ECG1   3575 
     20780565     ECG1   3575 
     20780566     ECG1   3575 
     20780567     ECG1   3575 
     20780568     ECG1   3575 
     20780569     ECG1   3575 
     20780570     ECG1   3575 
     20780571     ECG1   3575 
     20780572     ECG1   3575 
     20780573     ECG1   3575 
     20780574     ECG1   3575 
     20780575     ECG1   3575 
     20780576     ECG1   3575 
     20780577     ECG1   3575 
     20780578     ECG1   3575 
     20780579     ECG1   3575 
     20780580     ECG1   3575 
     20780581     ECG1   3575 
     20780582     ECG1   3575 
     20780583     ECG1   3575 
     20780544     ECG2   3057 
     20780545     ECG2   3057 
     20780546     ECG2   3057 
     20780547     ECG2   3057 
     20780548     ECG2   3057 
     20780549     ECG2   3057 
